status,sourceFile,sourceName,rawCode,finalHeCode,pageName,imageUrl,wordSource,wordCode,wordTitle,matchScore,era,carrier,craft,meaning
REVIEW,古黄鹤楼群鹤汉绣：HE-H-S-R02.jpg,古黄鹤楼群鹤汉绣,HE-H-S-R02,HE-H-S-R02,古黄鹤楼群鹤汉绣,/patterns-transparent/HE-H-S-R02.png,extra,HE-H-S-R02,古黄鹤楼群鹤汉绣,1.08,暂无资料,暂无资料,暂无资料,暂无资料
REVIEW,喜迎二十大金凤和平牡丹汉绣：HE-N-B-M03黄春萍（省级传承人）.png,喜迎二十大金凤和平牡丹汉绣,HE-N-B-M03,HE-N-B-M03,喜迎二十大金凤和平牡丹主题汉绣：,/patterns-transparent/HE-N-B-M03.png,complete,HE-N-B-M03,喜迎二十大金凤和平牡丹主题汉绣：,1.009,暂无资料,暂无资料,暂无资料,暂无资料
REVIEW,圆形框黄鹤楼山水汉绣：HE-H-S-A02.png,圆形框黄鹤楼山水汉绣,HE-H-S-A02,HE-H-S-A02,圆形框黄鹤楼山水汉绣,/patterns-transparent/HE-H-S-A02.png,extra,HE-H-S-A02,圆形框黄鹤楼山水汉绣,1.08,暂无资料,暂无资料,暂无资料,暂无资料
REVIEW,彩羽凤凰云纹局部绣：HE-N-B-M14.png,彩羽凤凰云纹局部绣,HE-N-B-M14,HE-N-B-M14,彩羽凤凰云纹局部绣：,/patterns-transparent/HE-N-B-M14.png,complete,HE-N-B-M14,彩羽凤凰云纹局部绣：,1.08,暂无资料,暂无资料,暂无资料,暂无资料
REVIEW,旭日金龙戏珠蓝底汉绣：HE-N-B-B04.jpg,旭日金龙戏珠蓝底汉绣,HE-N-B-B04,HE-N-B-B04,旭日金龙戏珠蓝底汉绣：,/patterns-transparent/HE-N-B-B04.png,complete,HE-N-B-B04,旭日金龙戏珠蓝底汉绣：,1.08,暂无资料,暂无资料,暂无资料,暂无资料
REVIEW,松鹤延年圆框汉绣：HE-N-B-M05.png,松鹤延年圆框汉绣,HE-N-B-M05,HE-N-B-M05,松鹤延年圆框汉绣,/patterns-transparent/HE-N-B-M05.png,extra,HE-N-B-M05,松鹤延年圆框汉绣,1.08,暂无资料,暂无资料,暂无资料,暂无资料
REVIEW,楚凤江城图圆框汉绣HE-N-S-A01王子怡（省级传承人）.png,楚凤江城图圆框汉绣,HE-N-S-A01,HE-N-S-A01,楚凤江城图圆框汉绣：,/patterns-transparent/HE-N-S-A01.png,complete,HE-N-S-A01,楚凤江城图圆框汉绣：,1.08,暂无资料,暂无资料,暂无资料,暂无资料
REVIEW,楚式对称凤鹿复古白地汉绣：HE-H-L-M10.png,楚式对称凤鹿复古白地汉绣,HE-H-L-M10,HE-H-L-M10,楚式对称凤鹿复古白地方形绣片：,/patterns-transparent/HE-H-L-M10.png,complete,HE-H-L-M10,楚式对称凤鹿复古白地方形绣片：,0.926,暂无资料,暂无资料,暂无资料,暂无资料
REVIEW,橄榄绿底双鹤红日圆台屏绣片：HE-N-B-B14.jpg,橄榄绿底双鹤红日圆台屏绣片,HE-N-B-B14,HE-N-B-B14,橄榄绿底双鹤红日圆台屏绣片,/patterns-transparent/HE-N-B-B14.png,extra,HE-N-B-B14,橄榄绿底双鹤红日圆台屏绣片,1.08,暂无资料,暂无资料,暂无资料,暂无资料
REVIEW,橙底荷塘花鸟围兜汉绣：HE-N-B-M07.png,橙底荷塘花鸟围兜汉绣,HE-N-B-M07,HE-N-B-M07,橙底荷塘花鸟围兜汉绣：,/patterns-transparent/HE-N-B-M07.png,complete,HE-N-B-M07,橙底荷塘花鸟围兜汉绣：,1.08,暂无资料,暂无资料,暂无资料,暂无资料
REVIEW,湖绿底国色天香牡丹蝴蝶绣片：HE-N-B-B13.jpg,湖绿底国色天香牡丹蝴蝶绣片,HE-N-B-B13,HE-N-B-B13,湖绿底国色天香牡丹蝴蝶绣片,/patterns-transparent/HE-N-B-B13.png,extra,HE-N-B-B13,湖绿底国色天香牡丹蝴蝶绣片,1.08,暂无资料,暂无资料,暂无资料,暂无资料
REVIEW,湖蓝底描金牡丹汉绣：HE-N-B-B11.png,湖蓝底描金牡丹汉绣,HE-N-B-B11,HE-N-B-B11,湖蓝底描金牡丹汉绣：,/patterns-transparent/HE-N-B-B11.png,complete,HE-N-B-B11,湖蓝底描金牡丹汉绣：,1.08,暂无资料,暂无资料,暂无资料,暂无资料
REVIEW,湘莲闹三棒鼓舞民俗汉绣：HE-H-B-M02.jpg,湘莲闹三棒鼓舞民俗汉绣,HE-H-B-M02,HE-H-B-M02,湘莲闹三棒鼓舞民俗汉绣,/patterns-transparent/HE-H-B-M02.png,extra,HE-H-B-M02,湘莲闹三棒鼓舞民俗汉绣,1.08,暂无资料,暂无资料,暂无资料,暂无资料
REVIEW,牡丹八宝吉祥纹汉绣：HE-N-B-M06.jpg,牡丹八宝吉祥纹汉绣,HE-N-B-M06,HE-N-B-M06,牡丹八宝吉祥纹汉绣,/patterns-transparent/HE-N-B-M06.png,extra,HE-N-B-M06,牡丹八宝吉祥纹汉绣,1.08,暂无资料,暂无资料,暂无资料,暂无资料
REVIEW,盘金凤凰羽翼局部绣：HE-N-L-A13.jpg,盘金凤凰羽翼局部绣,HE-N-L-A13,HE-N-L-A13,盘金凤凰羽翼局部绣：,/patterns-transparent/HE-N-L-A13.png,complete,HE-N-L-A13,盘金凤凰羽翼局部绣：,1.08,暂无资料,暂无资料,暂无资料,暂无资料
REVIEW,福字花卉蝙蝠汉绣：HE-N-B-R01.jpg,福字花卉蝙蝠汉绣,HE-N-B-R01,HE-N-B-R02,福字花卉蝙蝠汉绣：,/patterns-transparent/HE-N-B-R02.png,complete,HE-N-B-R01,福字花卉蝙蝠汉绣：,1.08,暂无资料,暂无资料,暂无资料,暂无资料
REVIEW,福寿瓜果彩蝶黑底汉绣：HE-N-B-B05.jpg,福寿瓜果彩蝶黑底汉绣,HE-N-B-B05,HE-N-B-B05,福寿瓜果彩蝶黑底汉绣,/patterns-transparent/HE-N-B-B05.png,extra,HE-N-B-B05,福寿瓜果彩蝶黑底汉绣,1.08,暂无资料,暂无资料,暂无资料,暂无资料
REVIEW,粉荷蜜蜂白地汉绣：HE-N-L-B01.jpg,粉荷蜜蜂白地汉绣,HE-N-L-B01,HE-N-L-B01,粉荷蜜蜂白地汉绣,/patterns-transparent/HE-N-L-B01.png,extra,HE-N-L-B01,粉荷蜜蜂白地汉绣,1.08,暂无资料,暂无资料,暂无资料,暂无资料
REVIEW,紫花对条浅白底戏服汉绣：HE-N-B-M02.jpg,紫花对条浅白底戏服汉绣,HE-N-B-M02,HE-N-B-M02,紫花对条浅白底戏服汉绣：,/patterns-transparent/HE-N-B-M02.png,complete,HE-N-B-M02,紫花对条浅白底戏服汉绣：,1.08,暂无资料,暂无资料,暂无资料,暂无资料
REVIEW,紫龙戏珠蓝底汉绣：HE-N-B-B03.jpg,紫龙戏珠蓝底汉绣,HE-N-B-B03,HE-N-B-B08,紫龙戏珠蓝底汉绣：,/patterns-transparent/HE-N-B-B08.png,complete,HE-N-B-B03,紫龙戏珠蓝底汉绣：,1.08,暂无资料,暂无资料,暂无资料,暂无资料
REVIEW,红底松鼠葡萄对幅汉绣：HE-N-B-R04.jpg,红底松鼠葡萄对幅汉绣,HE-N-B-R04,HE-N-B-R04,红底松鼠葡萄对幅汉绣：,/patterns-transparent/HE-N-B-R04.png,complete,HE-N-B-R04,红底松鼠葡萄对幅汉绣：,1.08,暂无资料,暂无资料,暂无资料,暂无资料
REVIEW,红底绿龙金线团龙绣片：HE-H-B-R09.jpg,红底绿龙金线团龙绣片,HE-H-B-R09,HE-H-B-R09,红底绿龙金线团龙绣片：,/patterns-transparent/HE-H-B-R09.png,complete,HE-H-B-R09,红底绿龙金线团龙绣片：,1.08,暂无资料,暂无资料,暂无资料,暂无资料
REVIEW,红底金线黄鹤楼双凤楚纹汉绣：HE-H-S-R08.png,红底金线黄鹤楼双凤楚纹汉绣,HE-H-S-R08,HE-H-S-R08,红底金线黄鹤楼双凤楚纹汉绣：,/patterns-transparent/HE-H-S-R08.png,complete,HE-H-S-R08,红底金线黄鹤楼双凤楚纹汉绣：,1.08,暂无资料,暂无资料,暂无资料,暂无资料
REVIEW,群鹤祥云圆台屏：HE-N-B-B07.jpg,群鹤祥云圆台屏,HE-N-B-B07,HE-N-B-B07,群鹤祥云圆台屏：,/patterns-transparent/HE-N-B-B07.png,complete,HE-N-B-B07,群鹤祥云圆台屏：,1.08,暂无资料,暂无资料,暂无资料,暂无资料
REVIEW,翠竹绶带鸟白地绣片：HE-N-L-M08.png,翠竹绶带鸟白地绣片,HE-N-L-M08,HE-N-L-M08,翠竹绶带鸟白地绣片：,/patterns-transparent/HE-N-L-M08.png,complete,HE-N-L-M08,翠竹绶带鸟白地绣片：,1.08,暂无资料,暂无资料,暂无资料,暂无资料
REVIEW,荣华富贵牡丹蝴蝶圆台屏：HE-N-B-R07.png,荣华富贵牡丹蝴蝶圆台屏,HE-N-B-R07,HE-N-B-R07,荣华富贵牡丹蝴蝶圆台屏：,/patterns-transparent/HE-N-B-R07.png,complete,HE-N-B-R07,荣华富贵牡丹蝴蝶圆台屏：,1.08,暂无资料,暂无资料,暂无资料,暂无资料
REVIEW,荷塘双鹤汉绣：HE-N-L-M01.jpg,荷塘双鹤汉绣,HE-N-L-M01,HE-N-L-M01,荷塘双鹤汉绣：,/patterns-transparent/HE-N-L-M01.png,complete,HE-N-L-M01,荷塘双鹤汉绣：,1.08,暂无资料,暂无资料,暂无资料,暂无资料
REVIEW,蓝底金凤牡丹展陈汉绣：HE-N-S-B04.jpg,蓝底金凤牡丹展陈汉绣,HE-N-S-B04,HE-N-S-B04,蓝底金凤牡丹展陈汉绣：,/patterns-transparent/HE-N-S-B04.png,complete,HE-N-S-B04,蓝底金凤牡丹展陈汉绣：,1.08,暂无资料,暂无资料,暂无资料,暂无资料
REVIEW,蓝白牡丹对幅绣：HE-N-B-M13.jpg,蓝白牡丹对幅绣,HE-N-B-M13,HE-N-B-M13,蓝白牡丹对幅绣：,/patterns-transparent/HE-N-B-M13.png,complete,HE-N-B-M13,蓝白牡丹对幅绣：,1.08,暂无资料,暂无资料,暂无资料,暂无资料
REVIEW,蓝调百花蝴蝶竖幅汉绣：HE-N-B-B06.jpg,蓝调百花蝴蝶竖幅汉绣,HE-N-B-B06,HE-N-B-B06,蓝调百花蝴蝶竖幅汉绣,/patterns-transparent/HE-N-B-B06.png,extra,HE-N-B-B06,蓝调百花蝴蝶竖幅汉绣,1.08,暂无资料,暂无资料,暂无资料,暂无资料
REVIEW,蝶仙游鱼红底汉绣：HE-H-B-R03.png,蝶仙游鱼红底汉绣,HE-H-B-R03,HE-H-B-R03,蝶仙游鱼红底汉绣,/patterns-transparent/HE-H-B-R03.png,extra,HE-H-B-R03,蝶仙游鱼红底汉绣,1.08,暂无资料,暂无资料,暂无资料,暂无资料
REVIEW,蝶恋花牡丹圆绣汉绣：HE-N-B-M02.png,蝶恋花牡丹圆绣汉绣,HE-N-B-M02,HE-N-B-M09,蝶恋花牡丹圆绣汉绣：,/patterns-transparent/HE-N-B-M09.png,complete,HE-N-B-M02,蝶恋花牡丹圆绣汉绣：,1.08,暂无资料,暂无资料,暂无资料,暂无资料
REVIEW,西十七座降龙尊者汉绣：HE-H-S-R01.png,西十七座降龙尊者汉绣,HE-H-S-R01,HE-H-S-R01,西十七座降龙尊者汉绣,/patterns-transparent/HE-H-S-R01.png,extra,HE-H-S-R01,西十七座降龙尊者汉绣,1.08,暂无资料,暂无资料,暂无资料,暂无资料
REVIEW,金线黄鹤楼云鹤圆绣汉绣：HE-H-S-A03.png,金线黄鹤楼云鹤圆绣汉绣,HE-H-S-A03,HE-H-S-A03,金线黄鹤楼云鹤圆绣汉绣,/patterns-transparent/HE-H-S-A03.png,extra,HE-H-S-A03,金线黄鹤楼云鹤圆绣汉绣,1.08,暂无资料,暂无资料,暂无资料,暂无资料
REVIEW,银杏双喜鹊圆台屏：HE-N-B-R06.png,银杏双喜鹊圆台屏,HE-N-B-R06,HE-N-B-R06,银杏双喜鹊圆台屏：,/patterns-transparent/HE-N-B-R06.png,complete,HE-N-B-R06,银杏双喜鹊圆台屏：,1.08,暂无资料,暂无资料,暂无资料,暂无资料
REVIEW,银杏锦鲤圆片绣：HE-N-B-M08.png,银杏锦鲤圆片绣,HE-N-B-M08,HE-N-B-M08,银杏锦鲤圆片绣：,/patterns-transparent/HE-N-B-M08.png,complete,HE-N-B-M08,银杏锦鲤圆片绣：,1.08,暂无资料,暂无资料,暂无资料,暂无资料
REVIEW,锦鸡牡丹红底汉剧服饰绣片：HE-N-B-R05.jpg,锦鸡牡丹红底汉剧服饰绣片,HE-N-B-R05,HE-N-B-R05,锦鸡牡丹红底汉剧服饰绣片：,/patterns-transparent/HE-N-B-R05.png,complete,HE-N-B-R05,锦鸡牡丹红底汉剧服饰绣片：,1.08,暂无资料,暂无资料,暂无资料,暂无资料
REVIEW,青绿底瓜蝶对称长条绣片：HE-N-B-M15.jpg,青绿底瓜蝶对称长条绣片,HE-N-B-M15,HE-N-B-M15,青绿底瓜蝶对称长条绣片：,/patterns-transparent/HE-N-B-M15.png,complete,HE-N-B-M15,青绿底瓜蝶对称长条绣片：,1.08,暂无资料,暂无资料,暂无资料,暂无资料
REVIEW,青蓝蝶恋花绣球HE-N-B-B02.png,青蓝蝶恋花绣球,HE-N-B-B02,HE-N-B-B02,青蓝蝶恋花绣球汉绣：,/patterns-transparent/HE-N-B-B02.png,complete,HE-N-B-B02,青蓝蝶恋花绣球汉绣：,1.08,暂无资料,暂无资料,暂无资料,暂无资料
REVIEW,青铜花觚对幅汉绣：HE-H-L-M11.png,青铜花觚对幅汉绣,HE-H-L-M11,HE-H-L-M11,青铜花觚对幅汉绣：,/patterns-transparent/HE-H-L-M11.png,complete,HE-H-L-M11,青铜花觚对幅汉绣：,1.08,暂无资料,暂无资料,暂无资料,暂无资料
REVIEW,鸳鸯荷花繁花汉绣HE-N-B-M04.png,鸳鸯荷花繁花汉绣,HE-N-B-M04,HE-N-B-M04,鸳鸯荷花繁花汉绣,/patterns-transparent/HE-N-B-M04.png,extra,HE-N-B-M04,鸳鸯荷花繁花汉绣,1.08,暂无资料,暂无资料,暂无资料,暂无资料
REVIEW,麒麟送子圆补汉绣：HE-H-B-M01.png,麒麟送子圆补汉绣,HE-H-B-M01,HE-H-B-M01,麒麟送子圆补汉绣：,/patterns-transparent/HE-H-B-M01.png,complete,HE-H-B-M01,麒麟送子圆补汉绣：,1.08,暂无资料,暂无资料,暂无资料,暂无资料
REVIEW,麻姑献寿寿星红底汉绣：HE-H-B-R02.png,麻姑献寿寿星红底汉绣,HE-H-B-R02,HE-H-B-R02,麻姑献寿寿星红底汉绣,/patterns-transparent/HE-H-B-R02.png,extra,HE-H-B-R02,麻姑献寿寿星红底汉绣,1.08,暂无资料,暂无资料,暂无资料,暂无资料
REVIEW,黑底满铺楚凤云水大幅壁挂汉绣：HE-H-S-B15.jpg,黑底满铺楚凤云水大幅壁挂汉绣,HE-H-S-B15,HE-H-S-B15,黑底满铺楚凤云水大幅壁挂汉绣,/patterns-transparent/HE-H-S-B15.png,extra,HE-H-S-B15,黑底满铺楚凤云水大幅壁挂汉绣,1.08,暂无资料,暂无资料,暂无资料,暂无资料
REVIEW,黑底盘金楚白虎圆绣片：HE-H-L-A14.jpg,黑底盘金楚白虎圆绣片,HE-H-L-A14,HE-H-L-A14,黑底盘金楚白虎圆绣片,/patterns-transparent/HE-H-L-A14.png,extra,HE-H-L-A14,黑底盘金楚白虎圆绣片,1.08,暂无资料,暂无资料,暂无资料,暂无资料
REVIEW,黑底金线团龙汉绣：HE-H-B-A12.png,黑底金线团龙汉绣,HE-H-B-A12,HE-H-B-A12,黑底金线团龙汉绣：,/patterns-transparent/HE-H-B-A12.png,complete,HE-H-B-A12,黑底金线团龙汉绣：,1.08,暂无资料,暂无资料,暂无资料,暂无资料
REVIEW,龙凤呈祥戏珠红底汉绣HE-N-B-R01.png,龙凤呈祥戏珠红底汉绣,HE-N-B-R01,HE-N-B-R08,龙凤呈祥戏珠红底汉绣：,/patterns-transparent/HE-N-B-R08.png,complete,HE-N-B-R01,龙凤呈祥戏珠红底汉绣：,1.08,暂无资料,暂无资料,暂无资料,暂无资料
