"fileName","sourcePath","nameZh","rawHeCode","standardHeCode","patternCategory","meaningCategory","colorCategory","sequence","period","region","carrier","technique","source","copyright","wordMatched","importStatus"
"双龙捧寿银线汉绣HE-N-B-B01.png","C:\Users\Administrator\Desktop\毕设设计\汉绣纹样图库\已命名\双龙捧寿银线汉绣HE-N-B-B01.png","双龙捧寿银线汉绣","HE-N-B-B01","HE-NB-B01","N","B","B","01","","","","","","","false","ready-for-word-info"
"古黄鹤楼彩凤群鹤竖幅汉绣：HE-N-S-M04.jpg","C:\Users\Administrator\Desktop\毕设设计\汉绣纹样图库\已命名\古黄鹤楼彩凤群鹤竖幅汉绣：HE-N-S-M04.jpg","古黄鹤楼彩凤群鹤竖幅汉绣","HE-N-S-M04","HE-NS-M04","N","S","M","04","","","","","","","false","ready-for-word-info"
"古黄鹤楼群鹤汉绣：HE-H-S-R02.jpg","C:\Users\Administrator\Desktop\毕设设计\汉绣纹样图库\已命名\古黄鹤楼群鹤汉绣：HE-H-S-R02.jpg","古黄鹤楼群鹤汉绣","HE-H-S-R02","HE-HS-R02","H","S","R","02","","","","","","","false","ready-for-word-info"
"喜迎二十大金凤和平牡丹汉绣：HE-N-B-M03黄春萍（省级传承人）.png","C:\Users\Administrator\Desktop\毕设设计\汉绣纹样图库\已命名\喜迎二十大金凤和平牡丹汉绣：HE-N-B-M03黄春萍（省级传承人）.png","喜迎二十大金凤和平牡丹汉绣","HE-N-B-M03","HE-NB-M03","N","B","M","03","","","","","","","false","ready-for-word-info"
"圆形框黄鹤楼山水汉绣：HE-H-S-A02.png","C:\Users\Administrator\Desktop\毕设设计\汉绣纹样图库\已命名\圆形框黄鹤楼山水汉绣：HE-H-S-A02.png","圆形框黄鹤楼山水汉绣","HE-H-S-A02","HE-HS-A02","H","S","A","02","","","","","","","false","ready-for-word-info"
"彩羽凤凰云纹局部绣：HE-N-B-M14.png","C:\Users\Administrator\Desktop\毕设设计\汉绣纹样图库\已命名\彩羽凤凰云纹局部绣：HE-N-B-M14.png","彩羽凤凰云纹局部绣","HE-N-B-M14","HE-NB-M14","N","B","M","14","","","","","","","false","ready-for-word-info"
"旭日金龙戏珠蓝底汉绣：HE-N-B-B04.jpg","C:\Users\Administrator\Desktop\毕设设计\汉绣纹样图库\已命名\旭日金龙戏珠蓝底汉绣：HE-N-B-B04.jpg","旭日金龙戏珠蓝底汉绣","HE-N-B-B04","HE-NB-B04","N","B","B","04","","","","","","","false","ready-for-word-info"
"松鹤延年圆框汉绣：HE-N-B-M05.png","C:\Users\Administrator\Desktop\毕设设计\汉绣纹样图库\已命名\松鹤延年圆框汉绣：HE-N-B-M05.png","松鹤延年圆框汉绣","HE-N-B-M05","HE-NB-M05","N","B","M","05","","","","","","","false","ready-for-word-info"
"楚凤江城图圆框汉绣HE-N-S-A01王子怡（省级传承人）.png","C:\Users\Administrator\Desktop\毕设设计\汉绣纹样图库\已命名\楚凤江城图圆框汉绣HE-N-S-A01王子怡（省级传承人）.png","楚凤江城图圆框汉绣","HE-N-S-A01","HE-NS-A01","N","S","A","01","","","","","","","false","ready-for-word-info"
"楚式对称凤鹿复古白地汉绣：HE-H-L-M10.png","C:\Users\Administrator\Desktop\毕设设计\汉绣纹样图库\已命名\楚式对称凤鹿复古白地汉绣：HE-H-L-M10.png","楚式对称凤鹿复古白地汉绣","HE-H-L-M10","HE-HL-M10","H","L","M","10","","","","","","","false","ready-for-word-info"
"橄榄绿底双鹤红日圆台屏绣片：HE-N-B-B14.jpg","C:\Users\Administrator\Desktop\毕设设计\汉绣纹样图库\已命名\橄榄绿底双鹤红日圆台屏绣片：HE-N-B-B14.jpg","橄榄绿底双鹤红日圆台屏绣片","HE-N-B-B14","HE-NB-B14","N","B","B","14","","","","","","","false","ready-for-word-info"
"橙底荷塘花鸟围兜汉绣：HE-N-B-M07.png","C:\Users\Administrator\Desktop\毕设设计\汉绣纹样图库\已命名\橙底荷塘花鸟围兜汉绣：HE-N-B-M07.png","橙底荷塘花鸟围兜汉绣","HE-N-B-M07","HE-NB-M07","N","B","M","07","","","","","","","false","ready-for-word-info"
"湖绿底国色天香牡丹蝴蝶绣片：HE-N-B-B13.jpg","C:\Users\Administrator\Desktop\毕设设计\汉绣纹样图库\已命名\湖绿底国色天香牡丹蝴蝶绣片：HE-N-B-B13.jpg","湖绿底国色天香牡丹蝴蝶绣片","HE-N-B-B13","HE-NB-B13","N","B","B","13","","","","","","","false","ready-for-word-info"
"湖蓝底描金牡丹汉绣：HE-N-B-B11.png","C:\Users\Administrator\Desktop\毕设设计\汉绣纹样图库\已命名\湖蓝底描金牡丹汉绣：HE-N-B-B11.png","湖蓝底描金牡丹汉绣","HE-N-B-B11","HE-NB-B11","N","B","B","11","","","","","","","false","ready-for-word-info"
"湘莲闹三棒鼓舞民俗汉绣：HE-H-B-M02.jpg","C:\Users\Administrator\Desktop\毕设设计\汉绣纹样图库\已命名\湘莲闹三棒鼓舞民俗汉绣：HE-H-B-M02.jpg","湘莲闹三棒鼓舞民俗汉绣","HE-H-B-M02","HE-HB-M02","H","B","M","02","","","","","","","false","ready-for-word-info"
"牡丹八宝吉祥纹汉绣：HE-N-B-M06.jpg","C:\Users\Administrator\Desktop\毕设设计\汉绣纹样图库\已命名\牡丹八宝吉祥纹汉绣：HE-N-B-M06.jpg","牡丹八宝吉祥纹汉绣","HE-N-B-M06","HE-NB-M06","N","B","M","06","","","","","","","false","ready-for-word-info"
"盘金凤凰羽翼局部绣：HE-N-L-A13.jpg","C:\Users\Administrator\Desktop\毕设设计\汉绣纹样图库\已命名\盘金凤凰羽翼局部绣：HE-N-L-A13.jpg","盘金凤凰羽翼局部绣","HE-N-L-A13","HE-NL-A13","N","L","A","13","","","","","","","false","ready-for-word-info"
"福字花卉蝙蝠汉绣：HE-N-B-R01.jpg","C:\Users\Administrator\Desktop\毕设设计\汉绣纹样图库\已命名\福字花卉蝙蝠汉绣：HE-N-B-R01.jpg","福字花卉蝙蝠汉绣","HE-N-B-R01","HE-NB-R01","N","B","R","01","","","","","","","false","duplicate-code-needs-review"
"福寿瓜果彩蝶黑底汉绣：HE-N-B-B05.jpg","C:\Users\Administrator\Desktop\毕设设计\汉绣纹样图库\已命名\福寿瓜果彩蝶黑底汉绣：HE-N-B-B05.jpg","福寿瓜果彩蝶黑底汉绣","HE-N-B-B05","HE-NB-B05","N","B","B","05","","","","","","","false","ready-for-word-info"
"粉荷蜜蜂白地汉绣：HE-N-L-B01.jpg","C:\Users\Administrator\Desktop\毕设设计\汉绣纹样图库\已命名\粉荷蜜蜂白地汉绣：HE-N-L-B01.jpg","粉荷蜜蜂白地汉绣","HE-N-L-B01","HE-NL-B01","N","L","B","01","","","","","","","false","ready-for-word-info"
"紫花对条浅白底戏服汉绣：HE-N-B-M02.jpg","C:\Users\Administrator\Desktop\毕设设计\汉绣纹样图库\已命名\紫花对条浅白底戏服汉绣：HE-N-B-M02.jpg","紫花对条浅白底戏服汉绣","HE-N-B-M02","HE-NB-M02","N","B","M","02","","","","","","","false","duplicate-code-needs-review"
"紫龙戏珠蓝底汉绣：HE-N-B-B03.jpg","C:\Users\Administrator\Desktop\毕设设计\汉绣纹样图库\已命名\紫龙戏珠蓝底汉绣：HE-N-B-B03.jpg","紫龙戏珠蓝底汉绣","HE-N-B-B03","HE-NB-B03","N","B","B","03","","","","","","","false","duplicate-code-needs-review"
"红底松鼠葡萄对幅汉绣：HE-N-B-R04.jpg","C:\Users\Administrator\Desktop\毕设设计\汉绣纹样图库\已命名\红底松鼠葡萄对幅汉绣：HE-N-B-R04.jpg","红底松鼠葡萄对幅汉绣","HE-N-B-R04","HE-NB-R04","N","B","R","04","","","","","","","false","ready-for-word-info"
"红底绿龙金线团龙绣片：HE-H-B-R09.jpg","C:\Users\Administrator\Desktop\毕设设计\汉绣纹样图库\已命名\红底绿龙金线团龙绣片：HE-H-B-R09.jpg","红底绿龙金线团龙绣片","HE-H-B-R09","HE-HB-R09","H","B","R","09","","","","","","","false","ready-for-word-info"
"红底金线黄鹤楼双凤楚纹汉绣：HE-H-S-R08.png","C:\Users\Administrator\Desktop\毕设设计\汉绣纹样图库\已命名\红底金线黄鹤楼双凤楚纹汉绣：HE-H-S-R08.png","红底金线黄鹤楼双凤楚纹汉绣","HE-H-S-R08","HE-HS-R08","H","S","R","08","","","","","","","false","ready-for-word-info"
"群鹤祥云圆台屏：HE-N-B-B07.jpg","C:\Users\Administrator\Desktop\毕设设计\汉绣纹样图库\已命名\群鹤祥云圆台屏：HE-N-B-B07.jpg","群鹤祥云圆台屏","HE-N-B-B07","HE-NB-B07","N","B","B","07","","","","","","","false","ready-for-word-info"
"翠竹绶带鸟白地绣片：HE-N-L-M08.png","C:\Users\Administrator\Desktop\毕设设计\汉绣纹样图库\已命名\翠竹绶带鸟白地绣片：HE-N-L-M08.png","翠竹绶带鸟白地绣片","HE-N-L-M08","HE-NL-M08","N","L","M","08","","","","","","","false","ready-for-word-info"
"荣华富贵牡丹蝴蝶圆台屏：HE-N-B-R07.png","C:\Users\Administrator\Desktop\毕设设计\汉绣纹样图库\已命名\荣华富贵牡丹蝴蝶圆台屏：HE-N-B-R07.png","荣华富贵牡丹蝴蝶圆台屏","HE-N-B-R07","HE-NB-R07","N","B","R","07","","","","","","","false","ready-for-word-info"
"荷塘双鹤汉绣：HE-N-L-M01.jpg","C:\Users\Administrator\Desktop\毕设设计\汉绣纹样图库\已命名\荷塘双鹤汉绣：HE-N-L-M01.jpg","荷塘双鹤汉绣","HE-N-L-M01","HE-NL-M01","N","L","M","01","","","","","","","false","ready-for-word-info"
"蓝底金凤牡丹展陈汉绣：HE-N-S-B04.jpg","C:\Users\Administrator\Desktop\毕设设计\汉绣纹样图库\已命名\蓝底金凤牡丹展陈汉绣：HE-N-S-B04.jpg","蓝底金凤牡丹展陈汉绣","HE-N-S-B04","HE-NS-B04","N","S","B","04","","","","","","","false","ready-for-word-info"
"蓝白牡丹对幅绣：HE-N-B-M13.jpg","C:\Users\Administrator\Desktop\毕设设计\汉绣纹样图库\已命名\蓝白牡丹对幅绣：HE-N-B-M13.jpg","蓝白牡丹对幅绣","HE-N-B-M13","HE-NB-M13","N","B","M","13","","","","","","","false","ready-for-word-info"
"蓝调百花蝴蝶竖幅汉绣：HE-N-B-B06.jpg","C:\Users\Administrator\Desktop\毕设设计\汉绣纹样图库\已命名\蓝调百花蝴蝶竖幅汉绣：HE-N-B-B06.jpg","蓝调百花蝴蝶竖幅汉绣","HE-N-B-B06","HE-NB-B06","N","B","B","06","","","","","","","false","ready-for-word-info"
"蝶仙游鱼红底汉绣：HE-H-B-R03.png","C:\Users\Administrator\Desktop\毕设设计\汉绣纹样图库\已命名\蝶仙游鱼红底汉绣：HE-H-B-R03.png","蝶仙游鱼红底汉绣","HE-H-B-R03","HE-HB-R03","H","B","R","03","","","","","","","false","ready-for-word-info"
"蝶恋花牡丹圆绣汉绣：HE-N-B-M02.png","C:\Users\Administrator\Desktop\毕设设计\汉绣纹样图库\已命名\蝶恋花牡丹圆绣汉绣：HE-N-B-M02.png","蝶恋花牡丹圆绣汉绣","HE-N-B-M02","HE-NB-M02","N","B","M","02","","","","","","","false","duplicate-code-needs-review"
"西十七座降龙尊者汉绣：HE-H-S-R01.png","C:\Users\Administrator\Desktop\毕设设计\汉绣纹样图库\已命名\西十七座降龙尊者汉绣：HE-H-S-R01.png","西十七座降龙尊者汉绣","HE-H-S-R01","HE-HS-R01","H","S","R","01","","","","","","","false","ready-for-word-info"
"金线黄鹤楼云鹤圆绣汉绣：HE-H-S-A03.png","C:\Users\Administrator\Desktop\毕设设计\汉绣纹样图库\已命名\金线黄鹤楼云鹤圆绣汉绣：HE-H-S-A03.png","金线黄鹤楼云鹤圆绣汉绣","HE-H-S-A03","HE-HS-A03","H","S","A","03","","","","","","","false","ready-for-word-info"
"银杏双喜鹊圆台屏：HE-N-B-R06.png","C:\Users\Administrator\Desktop\毕设设计\汉绣纹样图库\已命名\银杏双喜鹊圆台屏：HE-N-B-R06.png","银杏双喜鹊圆台屏","HE-N-B-R06","HE-NB-R06","N","B","R","06","","","","","","","false","ready-for-word-info"
"银杏锦鲤圆片绣：HE-N-B-M08.png","C:\Users\Administrator\Desktop\毕设设计\汉绣纹样图库\已命名\银杏锦鲤圆片绣：HE-N-B-M08.png","银杏锦鲤圆片绣","HE-N-B-M08","HE-NB-M08","N","B","M","08","","","","","","","false","ready-for-word-info"
"锦鸡牡丹红底汉剧服饰绣片：HE-N-B-R05.jpg","C:\Users\Administrator\Desktop\毕设设计\汉绣纹样图库\已命名\锦鸡牡丹红底汉剧服饰绣片：HE-N-B-R05.jpg","锦鸡牡丹红底汉剧服饰绣片","HE-N-B-R05","HE-NB-R05","N","B","R","05","","","","","","","false","ready-for-word-info"
"青绿底瓜蝶对称长条绣片：HE-N-B-M15.jpg","C:\Users\Administrator\Desktop\毕设设计\汉绣纹样图库\已命名\青绿底瓜蝶对称长条绣片：HE-N-B-M15.jpg","青绿底瓜蝶对称长条绣片","HE-N-B-M15","HE-NB-M15","N","B","M","15","","","","","","","false","ready-for-word-info"
"青蓝蝶恋花绣球HE-N-B-B02.png","C:\Users\Administrator\Desktop\毕设设计\汉绣纹样图库\已命名\青蓝蝶恋花绣球HE-N-B-B02.png","青蓝蝶恋花绣球","HE-N-B-B02","HE-NB-B02","N","B","B","02","","","","","","","false","ready-for-word-info"
"青铜花觚对幅汉绣：HE-H-L-M11.png","C:\Users\Administrator\Desktop\毕设设计\汉绣纹样图库\已命名\青铜花觚对幅汉绣：HE-H-L-M11.png","青铜花觚对幅汉绣","HE-H-L-M11","HE-HL-M11","H","L","M","11","","","","","","","false","ready-for-word-info"
"鸳鸯荷花繁花汉绣HE-N-B-M04.png","C:\Users\Administrator\Desktop\毕设设计\汉绣纹样图库\已命名\鸳鸯荷花繁花汉绣HE-N-B-M04.png","鸳鸯荷花繁花汉绣","HE-N-B-M04","HE-NB-M04","N","B","M","04","","","","","","","false","ready-for-word-info"
"麒麟送子圆补汉绣：HE-H-B-M01.png","C:\Users\Administrator\Desktop\毕设设计\汉绣纹样图库\已命名\麒麟送子圆补汉绣：HE-H-B-M01.png","麒麟送子圆补汉绣","HE-H-B-M01","HE-HB-M01","H","B","M","01","","","","","","","false","ready-for-word-info"
"麻姑献寿寿星红底汉绣：HE-H-B-R02.png","C:\Users\Administrator\Desktop\毕设设计\汉绣纹样图库\已命名\麻姑献寿寿星红底汉绣：HE-H-B-R02.png","麻姑献寿寿星红底汉绣","HE-H-B-R02","HE-HB-R02","H","B","R","02","","","","","","","false","ready-for-word-info"
"黑底满铺楚凤云水大幅壁挂汉绣：HE-H-S-B15.jpg","C:\Users\Administrator\Desktop\毕设设计\汉绣纹样图库\已命名\黑底满铺楚凤云水大幅壁挂汉绣：HE-H-S-B15.jpg","黑底满铺楚凤云水大幅壁挂汉绣","HE-H-S-B15","HE-HS-B15","H","S","B","15","","","","","","","false","ready-for-word-info"
"黑底盘金楚白虎圆绣片：HE-H-L-A14.jpg","C:\Users\Administrator\Desktop\毕设设计\汉绣纹样图库\已命名\黑底盘金楚白虎圆绣片：HE-H-L-A14.jpg","黑底盘金楚白虎圆绣片","HE-H-L-A14","HE-HL-A14","H","L","A","14","","","","","","","false","ready-for-word-info"
"黑底金线团龙汉绣：HE-H-B-A12.png","C:\Users\Administrator\Desktop\毕设设计\汉绣纹样图库\已命名\黑底金线团龙汉绣：HE-H-B-A12.png","黑底金线团龙汉绣","HE-H-B-A12","HE-HB-A12","H","B","A","12","","","","","","","false","ready-for-word-info"
"龙凤呈祥戏珠红底汉绣HE-N-B-R01.png","C:\Users\Administrator\Desktop\毕设设计\汉绣纹样图库\已命名\龙凤呈祥戏珠红底汉绣HE-N-B-R01.png","龙凤呈祥戏珠红底汉绣","HE-N-B-R01","HE-NB-R01","N","B","R","01","","","","","","","false","duplicate-code-needs-review"
